soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
cuvânt	dicționar	N	vorbire,cuvânt	dicționar,lexicon,vocabular	limbaj vorbit sau scris	Operă lexicografică cuprinzând cuvintele unei limbi, ale unui dialect, ale unui domeniu de activitate, ale unui scriitor etc., organizate într-o anumită ordine (de obicei alfabetică) și explicate în aceeași limbă sau traduse într-o limbă străină	1.09	2.87
bani	salariu	N	bani,finanțe,fonduri	leafă,remunerație,retribuție,salariu	Totalitatea mijloacelor bănești	retribuție (în bani) pe care o primește regulat o persoană pentru munca îndeplinită ca angajat permanent	1.68	4.33
câine	pisică	N	câine	pisică	Animal mamifer carnivor domesticit, folosit pentru pază, vânătoare etc..	Mamifer domestic carnivor din familia felidelor, cu corpul suplu, acoperit cu blană deasă și moale de diferite culori, cu capul rotund, cu botul foarte scurt, cu maxilarele puternice și cu ghearele retractile și ascuțite	2.68	1.52
zonă	regiune	N	regiune,zonă	regiune,zonă	O zonă geografică aparte (folosită de obicei pentru anumite scopuri); " a fost aleasă strategic o zonă accidentată ";	O zonă geografică aparte (folosită de obicei pentru anumite scopuri); " a fost aleasă strategic o zonă accidentată ";	4.0	8.33
flotă	armată	N	flotă,unitate_navală	armată,unitate_militară	Totalitatea navelor fluviale, maritime sau aeriene ale unui stat.	Totalitatea forțelor militare ale unui stat	3.42	4.4
carte	literatură	N	carte	compoziție,compoziție_literară,compunere,literatură	Diviziune mai mare decât un capitol a unei scrieri de proporții mari.	scriere ca rezultat al imaginației sau creativității	2.68	3.48
apus	răsărit	N	apus,vest	est,răsărit	Unul dintre cele patru puncte cardinale, opus estului	Unul dintre cele patru puncte cardinale, aflat în partea unde răsare soarele, opus vestului;	3.0	1.42
copil	adult	N	copil	adult,om_matur	(figurativ) Om naiv, fără experiență	(persoană) aflată în perioada de la 17-18 ani până la 50 de ani.	3.0	1.1
vacă	cireadă	N	vacă	cireadă	femela bovinelor domestice	Grup numeros de animale cornute mari.	3.42	3.02
carte	poveste	N	bilet,carte,carte_poștală	istorisire,narațiune,poveste,povestire	Bilet, scrisoare, carte de vizită, ilustrată, special imprimate, prin care cineva este felicitat.;	Expunere, relatarea unui fapt, a unui eveniment sau a mai multor fapte sau evenimente; realizată în scris, ca parte a unei piese de teatru sau a unui film, sau ca program de radio sau de televiziune	2.19	3.58
iarnă	vară	N	iarnă,sezonul_alb	vară	Anotimpul cel mai friguros, care urmează după toamnă și precedă primăvara, cuprins între solstițiul de la 22 decembrie și echinocțiul de la 21 martie.	anotimpul cel mai călduros al anului, cuprins între primăvară și toamnă și reprezentând (în emisfera boreală) intervalul de timp de la 22 (21) iunie până la 23 septembrie	3.0	1.2
taxi	taxi	N	taxi	taxi	mașină pentru transportul public individual	mașină pentru transportul public individual	4.0	9.68
copac	arțar	N	arbore,copac,pom	arțar	Plantă cu trunchiul lemnos și înalt, ale cărei crengi se ramifică la o distanță oarecare de sol, formând o coroană	Arbore cu lemnul alb și tare, rezistent, cu frunze opuse și fructe aripate, înrudit cu paltinul.	3.0	4.25
pat	dormitor	N	pat	cameră_de_culcare,dormitor	parte plana a unei prese de tipar, pe care se pune forma de tipărit în ultim a etapă a producerii unui ziar, a unei reviste sau a unei cărți	Cameră de dormit (într-o locuință particulară, într-o școală, într-o cazarmă etc.)	2.0	2.8
acoperiș	tavan	N	înveliș,învelitoare,acoperământ,acoperiș	bagdadie,plafon,tavan	Ceea ce servește la învelit	Suprafață interioară a planșeului superior al unei încăperi	2.19	4.65
boală	infecție	N	afecțiune,boală,maladie	infecție	Modificare organică sau funcțională a echilibrului normal al organismului; proces patologic care afectează organismul	stare patologică rezultată din invazia în organism a microorganismelor patogene	2.68	5.25
braț	umăr	N	braț,mână	umăr	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Parte a corpului omenesc corespunzătoare articulației dintre mână și trunchi	2.19	2.95
oaie	miel	N	oaie	miel	Carne de oaie.	Carne de miel.	3.0	3.93
doamnă	gentleman	N	doamnă	domn,gentleman	Termen de politețe pentru o femeie căsătorită	termen de politețe pentru un bărbat	2.42	1.82
barcă	ancoră	N	barcă	ancoră,gheară	Ambarcație mică pentru călătoria pe apă	(Tehn.) Piesă asemănătoare cu o gheară cu mai multe cârlige folosită la apucat-de obicei aruncată cu o funie.	1.68	2.38
preot	călugăr	N	preot	călugăr	lider spiritual al unei religii necreștine	Membru al unui ordin religios care este supus jurămintelor de sărăcie, castitate și ascultare.	2.19	4.47
mânie	furie	N	furie,mânie	furie,mânie	Stare de extremă iritare iscată de un rău presupus sau real	Stare de extremă iritare iscată de un rău presupus sau real	4.0	9.25
dată	calendar	N	dată	calendar	Fiecare dintre numerele, mărimile, relațiile etc. care sunt obținute în urma unei cercetări sau măsurări	sistem de împărțire a timpului în ani, luni și zile, bazat pe fenomenele periodice ale naturii	2.19	3.77
mare	ocean	N	mare	ocean	Vastă întindere de apă sărată de pe suprafața globului.	Vastă întindere de apă sărată de pe suprafața globului, delimitată de continente.	3.0	4.15
secundă	minut	N	clipă,moment,secundă	ceas,clipă,clipită,minut,moment	Expresie : În clipa aceea; chiar atunci, chiar în momentul de care este vorba	Moment în care se întâmplă sau trebuie să se întâmple ceva	3.42	2.67
lemn	buștean	N	lemn	butuc,buștean,buturugă,butură	țesut conducător al unor plante superioare, alcătuit din trahee, parenchim și fibre cu ligatură	Bucată dintr-un trunchi de copac tăiat și curățat de crengi	3.42	6.1
noroi	mizerie	N	mocirlă,mâl,noroi,nămol,glod	mizerie,jeg,murdărie,gunoi	substanță murdară și vâscoasă	Orice substanță considerată a fi dezgustătoare sau neplăcută	2.19	5.25
hol	coridor	N	hol	coridor,culoar,gang	încăpere de trecere într-o locuință	loc de trecere îngust (și lung), care leagă încăperile unei clădiri și din care se intră în camerele aceluiași apartament sau ale aceluiași etaj	3.42	8.97
mod	manieră	N	fel,gen,manieră,mod,modalitate,stil	fel,gen,manieră,mod,modalitate,stil	cum se face sau se întâmplă ceva	cum se face sau se întâmplă ceva	4.0	8.2
șoarece	pisică	N	șoarece,șoarece_de_câmp	pisică	mic rozător de câmp care face mari stricăciuni în culturi.	Pisică sălbatică; specie de pisică, mai mare decât aceasta, cu blana roșcată-cenușie cu dungi negre, care trăiește în pădure.	2.19	1.63
polițist	șerif	N	polițist	șerif	agent de poliție, funcționar de poliție	funcționar administrativ în Anglia și SUA învestit cu menținerea ordinii, perceperea impozitelor etc	3.0	5.72
moarte	înmormântare	N	decedare,deces,dispariție,moarte,pieire,stingere,sucombare	îngropare,îngropat,înhumare,înmormântare	Încetare din viață, moarte a unei persoane.	Ceremonia, ritualul așezării în mormânt	1.68	4.57
muzică	melodie	N	muzică	melodie,linie_melodică	Arta de a exprima sentimente și idei cu ajutorul sunetelor într-o manieră specifică.;	Succesiune de sunete îmbinate după regulile ritmului și ale modulației, pentru a alcătui o unitate cu sens expresiv.	3.42	7.08
bere	alcool	N	bere	alcool,băutură_alcoolică	Băutură alcoolică slabă obținută prin fermentarea unei infuzii rezultate din fierberea în apă a malțului și a florilor de hamei.	băutură ce conține alcool	3.0	4.68
gură	buză	N	gură	buză	(prin restringere) buzele și deschizătura dintre ele, buze.	Fiecare dintre cele două părți cărnoase care mărginesc gura și acoperă dinții.	2.0	3.77
furtună	uragan	N	furtună,vijelie	uragan	vânt puternic însoțit de averse de ploaie, de grindină și de descărcări electrice	ciclon tropical sau, p. gener., vânt foarte puternic cu acțiune distrugătoare, însoțit adesea de ploi torențiale	2.68	6.07
taxă	venit	N	taxă	câștig,venit	Sumă de bani care se plătește unei instituții în schimbul unor servicii prestate sau al anumitor drepturi.	sumă de bani care revine unei persoane sau firme dintr-o activitate prestată sau din proprietatea deținută, într-o perioadă de timp	1.68	1.2
floare	violetă	N	floare	toporaș,violă,violetă,viorea	Orice plantă (erbacee) care face flori colorate	numele mai multor plante erbacee cu flori albastre-violete, rar roșietice sau albe; viorea (Viola)	2.42	3.58
hârtie	carton	N	hârtie	carton,mucava	Produs industrial special pentru scris, tipărit, desenat, împachetat etc., fabricat din substanțe organice vegetale și materiale de încheiere și de colorare, în formă de foi subțiri și întinse.;	Hârtie groasă și compactă cu flexibilitate redusă	3.42	3.08
podea	tavan	N	pardoseală,podea	bagdadie,plafon,tavan	Înveliș care acoperă planșeul unei încăperi, confecționat din diferite materiale (scândură, piatră, cărămidă etc.)	Suprafață interioară a planșeului superior al unei încăperi	2.19	1.07
plajă	țărm	N	plajă	țărm,mal	Porțiune de teren, acoperită cu nisip fin, de la baza unei faleze sau de pe panta lină dinspre mare a unui cordon litoral	Margine (îngustă) de pământ situată (în pantă) de-a lungul unei ape; țărm; (prin extensiune) regiune de lângă o apă	3.0	6.03
galerie	perdea	N	galerie	perdea	Balconul dintr-o sală de spectacole cu mai multe nivele situat la nivelul cel mai înalt	Ceea ce acoperă vederea ca o perdea	1.68	2.52
stradă	alee	N	stradă	alee,străduță,stradă_îngustă	Drum (pavat sau asfaltat) în interiorul unei localități, de-a lungul căreia se înșiră, de o parte și de alta, trotuarele și casele	Spațiu de circulație mărginit pe ambele părți de elemente arhitecturale	3.42	6.25
barcă	punte	N	barcă	punte	Ambarcație mică pentru călătoria pe apă	1. Pod îngust (format adesea dintr-o scândură sau dintr-o bârnă) așezat peste un șanț, peste o râpă sau peste o apă, care pare fi trecut numai cu piciorul.;	1.68	1.85
mașină	claxon	N	mașină	claxon	dispozitiv mecanic sau electric care transmite sau transformă energia	dispozitiv de semnalizare sonoră la autovehicule	2.68	2.52
prieten	oaspete	N	amic,prieten	invitat,musafir,oaspete	Persoană de care cineva este legat printr-o afecțiune deosebită, bazată pe încredere și stimă reciprocă, de ideii sau principii comune	persoană chemată, poftită să se prezinte undeva sau să participe la ceva căreia i se oferă ospitalitate	2.42	2.3
angajator	angajat	N	angajator	angajat,salariat,slujbaș	Proprietar al unei întreprinderi care angajează muncitori.	Persoană încadrată într-un loc de muncă	2.42	1.77
victorie	triumf	N	biruință,izbândă,triumf,victorie	biruință,izbândă,triumf,victorie	Succes obținut într-o competiție sportivă, într-un concurs, la un examen etc.	Succes obținut într-o competiție sportivă, într-un concurs, la un examen etc.	4.0	9.37
ușă	prag	N	cadru,prag,ușă	cadru,prag,ușă	Deschizătură a zidului ocupată de o ușă sau de o fereastră. " Intră, te rog, de ce stai în ușă? ".	Deschizătură a zidului ocupată de o ușă sau de o fereastră. " Intră, te rog, de ce stai în ușă? ".	4.0	2.95
motel	han	N	han,motel	han,motel	Hotel situat în afara orașelor, pe un ( important) itinerar turistic, special amenajat pentru cazarea călătorilor și parcarea vehiculelor lor pentru o perioadă scurtă de timp	Hotel situat în afara orașelor, pe un ( important) itinerar turistic, special amenajat pentru cazarea călătorilor și parcarea vehiculelor lor pentru o perioadă scurtă de timp	4.0	5.72
unghie	deget	N	unghie	deget	Lamă cărnoasă care crește pe partea de deasupra a ultimei falange a degetelor de la mâini și de la picioare, la om.	parte unei mănuși care acoperă degetul mare.	1.09	2.95
trupă	orchestră	N	bandă,grup,trupă	orchestră	gup de instrumentaliști care nu include cântăreți la instrumente cu coarde	Colectiv de instrumentiști care execută împreună compoziții muzicale la diverse instrumente	3.0	5.85
carte	biblie	N	carte,volum	biblie	Scriere publicată, cu un anumit subiect, ce a fost tipărită și legată sau broșată în volum.	carte considerată o autoritate în domeniu	2.68	3.37
afacere	industrie	N	întreprindere,afacere,firmă	industrie	Tranzacție financiară, comercială sau industrială	(Cu determinări) Subdiviziune a industriei, cuprinzând un domeniu limitat de activitate	2.68	3.48
iarnă	anotimp	N	iarnă,sezonul_alb	anotimp,sezon	Anotimpul cel mai friguros, care urmează după toamnă și precedă primăvara, cuprins între solstițiul de la 22 decembrie și echinocțiul de la 21 martie.	fiecare dintre cele patru diviziuni ale anului, care prezintă caractere specifice de climă și de lumină	3.42	3.55
deceniu	secol	N	deceniu	secol,veac	Perioadă de zece ani	interval de timp de o sută de ani.	3.0	2.1
alcool	gin	N	alcool,băutură_alcoolică	gin	băutură ce conține alcool	Băutură alcoolică obținută prin distilarea mustului fermentat de cereale, în care s-au pus boabe de ienupăr	3.0	4.33
pălărie	palton	N	pălărie	haină,palton	Obiect folosit pentru acoperirea capului, format dintr-o calotă de pâslă, de paie, de pânză etc. (cu boruri).	Veșmânt lung și larg care acoperă tot trupul.	2.19	1.23
fereastră	ușă	N	fereastră	ușă,intrare,număr	Deschizătură de formă regulată, lăsată în peretele unei clădiri, al unui vehicul etc. pentru a permite să intre aerul și lumina; ansamblu format dintr-un cadru fix și din cercevele în care se fixează geamuri, montat în deschizătura amintită; ansamblu format de această deschizătură, împreună cu cercevelele care o încadrează și cu geamul fixat în cercevele	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	2.42	1.13
casă	apartament	N	casă	apartament	construcție destinată pentru a servi de locuință uneia sau mai multor familii	Locuință (într-o casă mai mare) compusă din mai multe camere (și dependințe)	2.68	4.57
sticlă	cristal	N	sticlă	cristal	Substanță solidă, amorfă, transparentă, translucidă sau opacă, dură, cu un luciu particular, lipsită de flexibilitate, casantă, rău conducătoare de căldură și de electricitate, formată dintr-un amestec de silicați și obținută prin topire.	Sticlă de o fabricație specială, transparentă și perfect incoloră, cu însușirea de a refracta puternic lumina, întrebuințată pentru fabricarea lentilelor optice și a unor obiecte de lux	3.0	3.65
creator	făcător	N	autor,creator	făcător,realizator	Persoană care creează, care fundează ceva.	(Persoană) care face, creează, realizează ceva.	3.42	8.12
braț	mușchi	N	braț,mână	mușchi	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Organ al corpului la toate vertebratele și la majoritatea nevertebratelor, format dintr-un țesut fibros și cărnos care, datorită proprietăților lui fundamentale, contractibilitatea și elasticitatea, pune în mișcare diferite organe și părți ale corpului.;	1.83	2.87
balon	clăbuc	N	balon,minge	clăbuc,spumă	Obiect sferic (rar ovoidal), de diverse dimensiuni și greutăți, confecționat din cauciuc, piele, celuloid, material plastic etc. (umplut cu aer), care se folosește în diferite jocuri (sportive), în gimnastica medicală etc.; balon.;	Spumă de săpun	2.0	4.9
pâine	făină	N	pâine,pită	făină	Aliment de bază al omului, preparat dintr-un aluat de făină (de grâu, de secară etc.) și ingrediente, afânat prin fermentația drojdiei, frământat cu apă și copt în cuptor.	Pulbere obținută prin măcinarea boabelor de cereale sau a altor semințe de plante și folosită în fabricarea pâinii	2.0	2.58
moarte	tragedie	N	decedare,deces,dispariție,moarte,pieire,stingere,sucombare	calamitate,catastrofă,dezastru,tragedie,flagel,grozăvie,năpastă,nenorocire,potop,prăpăd,sinistru,urgie	Încetare din viață, moarte a unei persoane.	Nenorocire mare, dezastru care lovește o colectivitate	2.19	4.22
absență	prezență	N	absență	prezență	Lipsă a unei ființe sau a unui obiect din locul unde ar fi trebuit să se afle	Faptul de a fi prezent undeva	2.68	0.5
armă	tun	N	armă	tun,bombă	Obiect, unealtă, aparat, mașină care servește în lupta împotriva inamicului, la vânat, în unele probe sportive etc.	Armă de artilerie care aruncă proiectile la distanță mare	3.0	3.62
minge	coș	N	balon,minge	coș	Obiect sferic (rar ovoidal), de diverse dimensiuni și greutăți, confecționat din cauciuc, piele, celuloid, material plastic etc. (umplut cu aer), care se folosește în diferite jocuri (sportive), în gimnastica medicală etc.; balon.;	(La jocul de baschet) Cerc metalic fixat perpendicular pe un panou de lemn și prevăzut cu o plasă fără fund prin care trebuie să fie trecută mingea pentru a se marca un punct	2.68	1.8
furtun	grădină	N	furtun	grădină,parc	Tub flexibil confecționat din material textil, cauciuc, material plastic etc., care servește la transportul, pe distanță mică, al gazelor sau al lichidelor	Suprafață întinsă de teren, de utilitate publică, cu plantații, alei și diferite construcții, amenajată pentru agrement.	1.3	1.7
biserică	cor	N	biserică,casa_Domnului	cor	Clădire destinată celebrării unui cult creștin.	Parte a unei catedrale pe care o ocupă corul de cântăreți	2.19	2.63
turn	clopot	N	turn	clopot	Construcție prismatică sau cilindrică, de înălțime (relativ) mare, clădită separat sau făcând parte dintr-un complex arhitectural, fiind de obicei mai înaltă decât celelalte construcții.	deschizătura în formă de clopot a unui dispozitiv tubular	2.42	2.23
tată	părinte	N	tată,părinte	tată,părinte	Dumnezeu considerat drept prima persoană din Trinitate	Dumnezeu considerat drept prima persoană din Trinitate	4.0	7.8
școală	clasă	N	școală	clasă,grupă	(figurativ) Curent, mișcare științifică, literară, artistică etc. care grupează în jurul ei numeroși adepți	Unitate organizatorică de bază în sistemul învățământului, compusă dintr-un număr de elevi care au aceeași vârstă, o pregătire școlară egală și învață împreună în cursul unui an	2.42	3.4
părinte	adult	N	părinte	adult,om_matur	(figurativ) Îndrumător, călăuzitor, protector spiritual	(persoană) aflată în perioada de la 17-18 ani până la 50 de ani.	2.68	4.78
gratie	închisoare	N	gratie	închisoare,penitenciar	Fiecare dintre vergelele care se așează (paralel) în tocul (sau în fața) ușilor, ferestrelor, vitrinelor etc., alcătuind împreună un ansamblu fix sau semimobil, care servește ca măsură de siguranță sau ca motiv arhitectonic.;	Clădire, loc în care sunt închiși cei condamnați la pedepse privative de libertate sau cei deținuți preventiv (DEX)	2.19	3.87
mașină	autostradă	N	mașină	autostradă	dispozitiv mecanic sau electric care transmite sau transformă energia	cale rutieră modernă, formată din două șosele cu mai multe benzi, rezervată exclusiv autovehiculelor	2.0	2.45
dicționar	definiție	N	dicționar,lexicon,vocabular	definire,definiție	Operă lexicografică cuprinzând cuvintele unei limbi, ale unui dialect, ale unui domeniu de activitate, ale unui scriitor etc., organizate într-o anumită ordine (de obicei alfabetică) și explicate în aceeași limbă sau traduse într-o limbă străină	enunțul prin care se exprimă operația de determinare a însușirilor proprii unui lucru, unei noțiuni etc.	0.91	3.62
ușă	pivniță	N	ușă	beci,pivniță	cameră în care se intră printr-o ușă; exemplu : biroul lui este a treia ușă pe stânga	Încăpere sau grup de încăperi subterane zidite de obicei dedesubtul unei clădiri și destinate păstrării unor materiale (lemn, cărbuni etc.) sau unor produse alimentare	2.42	1.2
armată	legiune	N	armată,unitate_militară	legiune	Totalitatea forțelor militare ale unui stat	denumire dată unor formații militare sau paramilitare din diferite epoci.	3.42	5.53
metal	aluminiu	N	metal	aluminiu	Nume generic dat oricărui element chimic cu luciu caracteristic, bun conducător de căldură și de electricitate, maleabil și ductil, de obicei solid la temperatura obișnuită	Metal ușor, ductil și maleabil, de culoare argintie, folosit pe scară întinsă în industrie și în tehnică	3.42	4
scaun	bancă	N	scaun	bancă	Mobilă de lemn, de metal etc., cu sau fără spetează, pe care poate ședea o singură persoană	Scaun lung pentru două sau mai multe persoane.	3.42	2.98
nor	ceață	N	nor	ceață	Masă densă și mobilă de praf, de fum etc.	Ceață densă care se formează îndeosebi dimineața și seara, reducând mult vizibilitatea	3.0	2.77
băiat	fiu	N	băiat,copil,fecior,fiu,flăcău	băiat,copil,fecior,fiu,flăcău	Persoană de sex bărbătesc, considerată în raport cu părinții săi	Persoană de sex bărbătesc, considerată în raport cu părinții săi	4.0	5.25
apă	gheață	N	apă	gheață	Masă de apă formând un râu, un lac, o mare etc.;	cuburi mici de gheață artificială folosite pentru răcirea băuturilor	2.19	2.7
pat	pătură	N	pat	pătură,strat	parte plana a unei prese de tipar, pe care se pune forma de tipărit în ultim a etapă a producerii unui ziar, a unei reviste sau a unei cărți	Strat dintr-o substanță, dintr-o materie (care acoperă ceva în mod uniform); fiecare dintre straturile suprapuse care alcătuiesc un tot	2.68	2.2
avocat	jurist	N	avocat,exponent	jurist	Persoană care reprezintă, apără și pledează pentru o cauză sau o idee	Specialist în științele juridice.	2.68	5.42
regiune	zonă	N	regiune,zonă	regiune,zonă	O zonă geografică aparte (folosită de obicei pentru anumite scopuri); " a fost aleasă strategic o zonă accidentată ";	O zonă geografică aparte (folosită de obicei pentru anumite scopuri); " a fost aleasă strategic o zonă accidentată ";	4.0	8.87
afacere	companie	N	întreprindere,afacere,firmă	casă,companie,firmă	Tranzacție financiară, comercială sau industrială	Personalul unei organizații comerciale sau de afaceri.	3.42	5.43
pulover	jachetă	N	pulovăr,pulover	jachetă	Obiect de îmbrăcăminte tricotat care acoperă partea de sus a corpului și se poartă de obicei peste cămașă sau peste bluză.	Haină (tricotată) femeiască încheiată în față, care acoperă partea de sus a corpului și care se poartă peste bluză sau peste rochie.	2.19	2.52
bani	capital	N	bani,finanțe,fonduri	capital	Totalitatea mijloacelor bănești	Avuție sub formă de bani, de mărfuri, de bunuri materiale în genere deținute de persoane fizice sau juridice	3.0	6.67
alcool	cocktail	N	alcool,băutură_alcoolică	cocktail	băutură ce conține alcool	băutură alcătuită prin amestecarea mai multor tipuri de alte băuturi	3.0	3.87
yard	inch	N	pas,yard,iard	inch,țol	măsură engleză de lungime, egală cu 0,9144 m	unitate de măsură pentru lungimi, cu 2, 54 cm, în Anglia și SUA.	3.0	3.05
moleculă	atom	N	moleculă	atom	Cea mai mică parte dintr-o substanță care mai păstrează compoziția procentuală și toate proprietățile chimice ale acelei substanțe	cea mai mică parte dintr-un element chimic care mai păstrează însușirile chimice ale elementului respectiv	1.83	4.33
masă	cină	N	masă	cină	Mâncare care se servește la anumite ore ale zilei. " Deseară luăm masa în oraș "	Masa de seară. " Cina de ieri a fost cu pește ".	3.42	4.53
ochi	lacrimă	N	ochi	lacrimă	Expresie : în ochii cuiva = după părerea cuiva, după aprecierea cuiva, în conștiința cuiva; în fața cuiva	O picătură dintr-o soluție lichidă, incoloră, sărată și alcalină, produsă de glandele lacrimale.	1.3	2.55
dumnezeu	diavol	N	divinitate,dumnezeu,idol,zeitate,zeu	spirit_rău,diavol	Orice ființă supranaturală care este venerată, controlează o parte a lumii sau este o personificare a unei forțe	Ființă imaginară care întruchipează răul	2.68	0.7
laț	sfoară	N	lasou,laț	sfoară	frânghie sau curea lungă cu un laț, care se leagă de șa, folosită în America de Sud la prinderea animalelor sălbatice	Fâșie fibroasă și flexibilă extrasă din anumite plante cu care se poate lega un obiect.	2.42	3.9
șobolan	șoarece	N	șobolan,guzgan	șoarece	Mamifer rozător omnivor din familia muridelor, mai mare decât șoarecele, cu coada lungă acoperită c solzi în formă de inele, care trăiește în jurul locuințelor, hambarelor, depozitelor etc., provocând mari stricăciuni.	Animal mic din ordinul rozătoarelor, având coada scurtă, blană gri pe spate și albă pe burtă, urechi mari, care trăiește în emisfera nordică.	3.0	4.87
mașină	taxi	N	automobil,autovehicul,mașină	taxi	Vehicul cu patru (rar trei, șase) roți pneumatice, mișcat de un motor cu explozie internă, cu aburi, cu electricitate sau aer comprimat	mașină pentru transportul public individual	3.42	4.62
pisică	leu	N	pisică	leu	Pisică sălbatică; specie de pisică, mai mare decât aceasta, cu blana roșcată-cenușie cu dungi negre, care trăiește în pădure.	Mamifer carnivor de talie mare din familia felinelor, cu corpul acoperit cu blană scurtă de culoare gălbuie și cu o coamă bogată în jurul capului, deosebit de puternic și de vorace, care trăiește în Africa și în Asia meridională.	3.42	1.95
mărime	magnitudine	N	dimensiune,mărime,proporție	magnitudine	mărimea fizică a ceva (cât de mare este)	proprietatea unei mărimi sau dimensiuni	3.42	4.9
realitate	fantezie	N	lume,realitate	fantezie,iluzie	totalitatea experiențelor cuiva care determină modul de percepere a realității înconjurătoare; " trăim în lumi diferite "	ceva despre care multă lume crede că este fals	2.19	0.5
ușă	poartă	N	ușă,poartă	ușă,poartă	(figurativ) Cale de acces	(figurativ) Cale de acces	4.0	5.38
os	maxilar	N	os	falcă,maxilar	Element de bază al scheletului vertebratelor, caracterizat prin structura lui dură, solidă și rezistentă, de culoare albă	Fiecare dintre cele două oase ale feței, în care sunt înfipți dinții; falcă	3.42	3.08
